N,anchor,hub_edges,hub_cost,weighting,metric,rank,node,is_prime,observed,null_mean,null_sd,null_min,null_max,z,p_empirical,null_degenerate,n_null_samples,pivots
1000,2,True,0.1,padic,eigenvector,4,7,True,0.06389518734543749,0.0634207684190262,0.0012753177902135701,0.06094806649030236,0.06643341028597086,0.3720005555100295,0.68,False,100,200
1000,2,True,0.1,padic,eigenvector,5,11,True,0.05679252181082462,0.05669608290481509,0.0009189368159192633,0.054901072987890265,0.05871335144488621,0.1049461772984418,0.82,False,100,200
1000,2,True,0.1,padic,eigenvector,6,13,True,0.05493853753195015,0.054580063039505806,0.0008709371789815285,0.05217048370694644,0.05710827234446249,0.4115962679002162,0.64,False,100,200
1000,2,True,0.1,padic,eigenvector,7,17,True,0.05263128256352284,0.05252518117170523,0.0007950074296691329,0.05087496763707226,0.054526282289808076,0.13345962296447209,0.84,False,100,200
1000,2,True,0.1,padic,eigenvector,8,19,True,0.051961248208582174,0.05181675217908116,0.000794903089489849,0.0499098196474099,0.05429940442763609,0.18177817071233507,0.88,False,100,200
1000,2,True,0.1,padic,eigenvector,9,23,True,0.050740044181949134,0.05075727391910714,0.0006754563266774498,0.049084508985460566,0.05239502640199519,-0.025508291916894816,0.9,False,100,200
1000,2,True,0.1,padic,eigenvector,10,29,True,0.04983387391017942,0.04972076743410818,0.0005946625766215119,0.04793382360121582,0.051701349153792056,0.1902027814056358,0.76,False,100,200
1000,2,True,0.1,padic,eigenvector,11,31,True,0.049657625460249884,0.04946530823611535,0.0005582074390152889,0.04811019805942077,0.05066128802430606,0.34452644427990203,0.7,False,100,200
1000,2,True,0.1,padic,eigenvector,12,37,True,0.04888051246902473,0.048832745705905393,0.0005289266035367717,0.04772790731888843,0.050157720974205185,0.09030886856505639,0.92,False,100,200
1000,2,True,0.1,padic,eigenvector,13,41,True,0.04866961337647827,0.04858660173285002,0.0004655544770104658,0.047303794391399825,0.04958398966588321,0.17830704617280818,0.98,False,100,200
