N,anchor,hub_edges,hub_cost,weighting,n_edges,n_null_samples,max_abs_z_degree,frac_top_abs_z_lt2_degree,top1_node_degree,top1_z_degree,max_abs_z_degree_weighted,frac_top_abs_z_lt2_degree_weighted,top1_node_degree_weighted,top1_z_degree_weighted,max_abs_z_eigenvector,frac_top_abs_z_lt2_eigenvector,top1_node_eigenvector,top1_z_eigenvector,max_abs_z_eigenvector_costweight,frac_top_abs_z_lt2_eigenvector_costweight,top1_node_eigenvector_costweight,top1_z_eigenvector_costweight,max_abs_z_pagerank,frac_top_abs_z_lt2_pagerank,top1_node_pagerank,top1_z_pagerank,max_abs_z_betweenness,frac_top_abs_z_lt2_betweenness,top1_node_betweenness,top1_z_betweenness
1000,2,True,0.1,padic,2125,100,0.0,1.0,2,0.0,0.0,1.0,2,0.0,0.8443096945685493,1.0,2,0.8443096945685493,4.242121784874774,0.85,2,-4.242121784874774,2.69132701010057,0.9,2,0.09626173362031139,1.5437190676171533,1.0,2,-0.32294112588134244
1000,2,False,0.1,padic,1958,100,0.0,1.0,2,0.0,0.0,1.0,2,0.0,5.7265865758111785,0.2,2,0.5453914785221503,4.5876320137704685,0.85,2,-4.5876320137704685,4.234480961716144,0.7,2,4.234480961716144,105.73044047590724,0.55,2,0.835140688641973
1000,2,True,0.1,uniform,2125,100,0.0,1.0,2,0.0,0.0,1.0,2,0.0,6.5528606568270344,0.95,2,-6.5528606568270344,2.7120733049083547,0.95,2,-2.7120733049083547,3.437820385338188,0.9,2,-1.5879666899423273,1.8623252394893466,1.0,2,0.24268648966502923
1000,2,False,0.1,uniform,1958,100,0.0,1.0,2,0.0,0.0,1.0,2,0.0,2.7579534886870856,0.95,2,-2.7579534886870856,2.7579534882709265,0.95,2,-2.7579534882709265,4.69853883074079,0.7,2,4.69853883074079,29.6495817599282,0.65,2,1.388877735378315
1000,2,True,0.1,log,2125,100,0.0,1.0,2,0.0,0.9949874371066201,1.0,2,-0.9949874371066201,10.421420870948914,0.9,2,10.421420870948914,0.9206749202376056,1.0,2,0.7529112493837403,6.986414353290432,0.3,2,-5.534557833596397,4.646231697521068,0.75,2,3.6101626990973883
1000,2,False,0.1,log,1958,100,0.0,1.0,2,0.0,0.99498743710662,1.0,3,-0.9949874371066199,3.0682833810381616,0.9,5,0.5805935053877695,0.9632298330497421,1.0,2,0.7685016578731212,8.655315097228394,0.8,3,-7.7142776361468535,4.598949624684026,0.8,5,2.2257592546842258
