N,anchor,hub_edges,hub_cost,weighting,metric,rank,node,is_prime,observed,null_mean,null_sd,null_min,null_max,z,p_empirical,null_degenerate,n_null_samples,pivots
31623,2,True,0.1,padic,eigenvector,4,7,True,0.03268497863053343,0.03143269679572784,0.00036778918865287906,0.030662883583513316,0.03235281612112621,3.4048902834593897,0.0,False,100,
31623,2,True,0.1,padic,eigenvector,5,11,True,0.023638199339706973,0.022813665061344447,0.00029280219820206136,0.022081462235419538,0.02347535869808834,2.816011230194119,0.0,False,100,
31623,2,True,0.1,padic,eigenvector,6,13,True,0.021352562427990614,0.020562409224838686,0.00024856618167648444,0.01977930662622185,0.021172136600106136,3.178844353735671,0.0,False,100,
31623,2,True,0.1,padic,eigenvector,7,17,True,0.018458470455834916,0.017861337198983293,0.00020228318967521213,0.01745706816087581,0.01847483634013487,2.951966783845901,0.02,False,100,
31623,2,True,0.1,padic,eigenvector,8,19,True,0.017493157739724118,0.016907515778171893,0.0002325505169209413,0.016323390033121554,0.017583307309622348,2.518342979006656,0.02,False,100,
31623,2,True,0.1,padic,eigenvector,9,23,True,0.016063826742150518,0.01563649014374121,0.00016286918216782615,0.01527214352229384,0.016106107435417308,2.6238026907322824,0.02,False,100,
31623,2,True,0.1,padic,eigenvector,10,29,True,0.014709780793480533,0.014357237767322596,0.0001678825739507575,0.014009679594117523,0.014872046113296991,2.0999381762001508,0.04,False,100,
31623,2,True,0.1,padic,eigenvector,11,16384,False,0.014489072246150836,0.0009173906436888576,0.0013792778469118303,2.6699138199948396e-05,0.005801726509835722,9.83970099487108,0.0,False,100,
31623,2,True,0.1,padic,eigenvector,12,31,True,0.014364844566828816,0.014027041524988319,0.00012794718365319354,0.013763751780018043,0.014354268446187281,2.6401756740197517,0.0,False,100,
31623,2,True,0.1,padic,eigenvector,13,24576,False,0.013733084047000773,0.0016686594224512188,0.0017508511952484744,5.344741871254035e-05,0.006801913102448532,6.89060535657767,0.0,False,100,
31623,2,True,0.1,padic,eigenvector,14,37,True,0.013579645199953933,0.01331327852477838,0.0001271196772892297,0.01301005213324659,0.01371284063676279,2.09540081327852,0.08,False,100,
31623,2,True,0.1,padic,eigenvector,15,8192,False,0.013523134096407447,0.0009194295665732437,0.0012855643045281532,2.6698706771336437e-05,0.005801031185473797,9.804024960431834,0.0,False,100,
31623,2,True,0.1,padic,eigenvector,16,41,True,0.013195058616974606,0.012970594279900853,0.0001351948379901671,0.012646491633353983,0.013430816456868465,1.6603025707984407,0.1,False,100,
31623,2,True,0.1,padic,eigenvector,17,43,True,0.013016224583656706,0.012779189420545829,0.00012776486929011823,0.012502618413243143,0.013101623180841442,1.8552452205984478,0.08,False,100,
31623,2,True,0.1,padic,eigenvector,18,12288,False,0.012767145897257385,0.0016567920677491646,0.0016641849126917028,5.510166699959291e-05,0.006795358903968032,6.676153439907107,0.0,False,100,
31623,2,True,0.1,padic,eigenvector,19,47,True,0.012733719237156408,0.012521405875229617,0.000136300102779494,0.012245993252957586,0.012845244586161837,1.5576904022609184,0.1,False,100,
31623,2,True,0.1,padic,eigenvector,20,20480,False,0.01267788345777306,0.001364063032053513,0.001619358983694299,5.477798870920819e-05,0.0068302078226173315,6.9866042919704805,0.0,False,100,
31623,2,True,0.1,padic,eigenvector_costweight,1,2,True,0.5148561244625837,0.524382562135202,0.0005199555541244241,0.5232636932958505,0.5256998216124505,-18.321638449771285,0.0,False,100,
31623,2,True,0.1,padic,eigenvector_costweight,2,3,True,0.376954799280287,0.37793589153326096,0.000903041647911927,0.3757954150878694,0.37988028224198556,-1.0864307922481082,0.3,False,100,
31623,2,True,0.1,padic,eigenvector_costweight,3,5,True,0.21537723119933042,0.2064344565309709,0.0014569062857605307,0.20240464900812255,0.21023044556450055,6.138194855608891,0.0,False,100,
31623,2,True,0.1,padic,eigenvector_costweight,4,7,True,0.14545019770018625,0.13647553400341395,0.0013489340731027736,0.13417396514072313,0.14126980647163845,6.653152200484547,0.0,False,100,
31623,2,True,0.1,padic,eigenvector_costweight,5,11,True,0.08686968555972609,0.0801710707033983,0.0009632380848028225,0.07712672630144049,0.08223480961380616,6.954267031186796,0.0,False,100,
31623,2,True,0.1,padic,eigenvector_costweight,6,13,True,0.0721303015652987,0.06612535112420029,0.0009402210183518222,0.06371621526658697,0.06893933579491814,6.386743461260714,0.0,False,100,
31623,2,True,0.1,padic,eigenvector_costweight,7,17,True,0.053932761839029425,0.048968238771370985,0.0007565789079634154,0.04734802557597823,0.05114460476772806,6.561804744229667,0.0,False,100,
31623,2,True,0.1,padic,eigenvector_costweight,8,19,True,0.04784012225500541,0.043302543921035046,0.0008163076911140042,0.04111186702934164,0.045049152382393175,5.558661744051446,0.0,False,100,
31623,2,True,0.1,padic,eigenvector_costweight,9,23,True,0.0391207058770331,0.03546901581078875,0.0007393434720479254,0.033367449638486146,0.037280199046587116,4.9390982734038955,0.0,False,100,
31623,2,True,0.1,padic,eigenvector_costweight,10,29,True,0.03075375852701481,0.027747439122308096,0.0006299602217305232,0.026074088506410693,0.02928391832903882,4.77223688258957,0.0,False,100,
31623,2,True,0.1,padic,eigenvector_costweight,11,31,True,0.028750948743031544,0.026022827133012558,0.0005211937357522623,0.024986859424342284,0.027295556213466205,5.23437144938319,0.0,False,100,
31623,2,True,0.1,padic,eigenvector_costweight,12,37,True,0.023972457112162344,0.0216690688921783,0.00046763520609612047,0.02064386819113643,0.023008159359523165,4.925609085793673,0.0,False,100,
31623,2,True,0.1,padic,eigenvector_costweight,13,41,True,0.02163973895660699,0.019600076098828526,0.00045624799276302403,0.018530706519129567,0.020658840192032346,4.4705136025395324,0.0,False,100,
31623,2,True,0.1,padic,eigenvector_costweight,14,43,True,0.02063267362059879,0.018620156175457123,0.00048149030117250843,0.017636789821943652,0.020186472198524496,4.179767360299572,0.0,False,100,
31623,2,True,0.1,padic,eigenvector_costweight,15,47,True,0.018881577751404005,0.01709536934553422,0.0004690179781093435,0.016158724641352554,0.017990795601215148,3.8084007207360453,0.0,False,100,
31623,2,True,0.1,padic,eigenvector_costweight,16,53,True,0.01675948946116677,0.01517637685376487,0.00043424557642638247,0.01417589886636858,0.016303347504579752,3.6456620247697384,0.0,False,100,
31623,2,True,0.1,padic,eigenvector_costweight,17,59,True,0.015087640272128826,0.013676621711563803,0.0003618527340854699,0.012772310344902338,0.014460820391292923,3.89942766117594,0.0,False,100,
31623,2,True,0.1,padic,eigenvector_costweight,18,61,True,0.014616768670432885,0.013229132549970522,0.0003693692731602205,0.01233394691366764,0.014282679633083935,3.7567719387975456,0.0,False,100,
31623,2,True,0.1,padic,eigenvector_costweight,19,67,True,0.01333716075753972,0.01202736973038494,0.00040741736589002616,0.011001754931632956,0.012951827548830749,3.2148630294476215,0.0,False,100,
31623,2,True,0.1,padic,eigenvector_costweight,20,71,True,0.01261744869977814,0.01139708054763464,0.0003791927972817878,0.010456732129586454,0.013002330865851461,3.218331574047856,0.02,False,100,
31623,2,True,0.1,padic,pagerank,1,2,True,0.16566015164431863,0.16500880919410402,5.0378933978277785e-05,0.16488855449012252,0.16512095812693478,12.928865277207878,0.0,False,100,
31623,2,True,0.1,padic,pagerank,2,3,True,0.05688996908573628,0.05798547381031028,5.207694146991416e-05,0.05785421679058779,0.05811798712920164,-21.036272362632552,0.0,False,100,
31623,2,True,0.1,padic,pagerank,3,5,True,0.030902746865814155,0.03167953724413985,3.8647129618296156e-05,0.03158637838250284,0.03177288745100643,-20.099562011403513,0.0,False,100,
31623,2,True,0.1,padic,pagerank,4,7,True,0.021319332553043743,0.021887002932196233,3.969337791525781e-05,0.02178305630296068,0.02198541594245613,-14.301387510138603,0.0,False,100,
31623,2,True,0.1,padic,pagerank,5,11,True,0.013199598585021064,0.013551630842426908,2.949515841367992e-05,0.013481337804270755,0.013634017017855743,-11.935255694119961,0.0,False,100,
31623,2,True,0.1,padic,pagerank,6,13,True,0.011099307749656166,0.011391182533497276,2.7722763934536808e-05,0.011320450150525995,0.011450174723068645,-10.528343585449429,0.0,False,100,
31623,2,True,0.1,padic,pagerank,7,17,True,0.008424544599004973,0.00863894543066441,2.2612079118838617e-05,0.008594991521014068,0.00870197443451337,-9.481694740790719,0.0,False,100,
31623,2,True,0.1,padic,pagerank,8,19,True,0.007522143183518133,0.0077126310745783,2.6823107040594613e-05,0.007654237381222227,0.007790618304342132,-7.101634078851488,0.0,False,100,
31623,2,True,0.1,padic,pagerank,9,23,True,0.006194642861649488,0.006338730630539099,1.919395736487339e-05,0.006298320324240972,0.0064038908569922365,-7.506933882916114,0.0,False,100,
31623,2,True,0.1,padic,pagerank,10,29,True,0.004905092469557858,0.005013029310302192,1.956221576384257e-05,0.0049574981079622184,0.005067632559099054,-5.5176183540433,0.0,False,100,
31623,2,True,0.1,padic,pagerank,11,31,True,0.004590164552022706,0.004688446453396586,1.8230120659102247e-05,0.0046398914662511784,0.004729962325034165,-5.391182165588464,0.0,False,100,
31623,2,True,0.1,padic,pagerank,12,37,True,0.003842892825683741,0.003919099556979041,1.6459652497629847e-05,0.0038851180889126528,0.003957942235075906,-4.62991131229977,0.0,False,100,
31623,2,True,0.1,padic,pagerank,13,41,True,0.0034692603430711176,0.0035322776448340337,1.6617887727924133e-05,0.0034982937418818845,0.003569549816215,-3.7921366899732063,0.0,False,100,
31623,2,True,0.1,padic,pagerank,14,43,True,0.0033097424312272423,0.0033709711891069375,1.4499476274117761e-05,0.0033327364762938787,0.0034056975072781505,-4.2228254815653345,0.0,False,100,
31623,2,True,0.1,padic,pagerank,15,47,True,0.0030268870529046904,0.0030770810421404757,1.469450097183341e-05,0.0030337032045840073,0.0031109431220221577,-3.4158348985105795,0.0,False,100,
31623,2,True,0.1,padic,pagerank,16,53,True,0.0026875412456235596,0.0027276439466423935,1.2232127275204933e-05,0.00270072869223042,0.002755848871365352,-3.278473164690084,0.0,False,100,
31623,2,True,0.1,padic,pagerank,17,59,True,0.00241593263939111,0.0024524552842414993,1.3634716421737212e-05,0.002421588011114076,0.0024800741361573997,-2.6786508586392777,0.0,False,100,
31623,2,True,0.1,padic,pagerank,18,61,True,0.002339102858695335,0.002371107798687033,1.1726570424744741e-05,0.002341118666891055,0.0023932566847152527,-2.7292668557350033,0.0,False,100,
31623,2,True,0.1,padic,pagerank,19,67,True,0.00213295645807444,0.002157092868659543,1.25028975656964e-05,0.002122918612840109,0.0021817254472627895,-1.9304653547929542,0.08,False,100,
31623,2,True,0.1,padic,pagerank,20,71,True,0.002014948420368853,0.0020399948483270872,1.2720213994846952e-05,0.0020138691900870977,0.0020750631021055352,-1.9690256758558302,0.04,False,100,
31623,2,False,0.1,padic,degree,1,2,True,15810.0,15810.0,0.0,15810.0,15810.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree,2,3,True,10540.0,10540.0,0.0,10540.0,10540.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree,3,5,True,6323.0,6323.0,0.0,6323.0,6323.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree,4,7,True,4516.0,4516.0,0.0,4516.0,4516.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree,5,11,True,2873.0,2873.0,0.0,2873.0,2873.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree,6,13,True,2431.0,2431.0,0.0,2431.0,2431.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree,7,17,True,1859.0,1859.0,0.0,1859.0,1859.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree,8,19,True,1663.0,1663.0,0.0,1663.0,1663.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree,9,23,True,1373.0,1373.0,0.0,1373.0,1373.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree,10,29,True,1089.0,1089.0,0.0,1089.0,1089.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree,11,31,True,1019.0,1019.0,0.0,1019.0,1019.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree,12,37,True,853.0,853.0,0.0,853.0,853.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree,13,41,True,770.0,770.0,0.0,770.0,770.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree,14,43,True,734.0,734.0,0.0,734.0,734.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree,15,47,True,671.0,671.0,0.0,671.0,671.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree,16,53,True,595.0,595.0,0.0,595.0,595.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree,17,59,True,534.0,534.0,0.0,534.0,534.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree,18,61,True,517.0,517.0,0.0,517.0,517.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree,19,67,True,470.0,470.0,0.0,470.0,470.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree,20,71,True,444.0,444.0,0.0,444.0,444.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree_weighted,1,2,True,47422.0,47422.0,0.0,47422.0,47422.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree_weighted,2,3,True,26346.0,26346.0,0.0,26346.0,26346.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree_weighted,3,5,True,14224.0,14224.0,0.0,14224.0,14224.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree_weighted,4,7,True,9783.0,9783.0,0.0,9783.0,9783.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree_weighted,5,11,True,6032.0,6032.0,0.0,6032.0,6032.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree_weighted,6,13,True,5064.0,5064.0,0.0,5064.0,5064.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree_weighted,7,17,True,3833.0,3833.0,0.0,3833.0,3833.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree_weighted,8,19,True,3417.0,3417.0,0.0,3417.0,3417.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree_weighted,9,23,True,2807.0,2807.0,0.0,2807.0,2807.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree_weighted,10,29,True,2216.0,2216.0,0.0,2216.0,2216.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree_weighted,11,31,True,2071.0,2071.0,0.0,2071.0,2071.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree_weighted,12,37,True,1729.0,1729.0,0.0,1729.0,1729.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree_weighted,13,41,True,1558.0,1558.0,0.0,1558.0,1558.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree_weighted,14,43,True,1485.0,1485.0,0.0,1485.0,1485.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree_weighted,15,47,True,1356.0,1356.0,0.0,1356.0,1356.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree_weighted,16,53,True,1201.0,1201.0,0.0,1201.0,1201.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree_weighted,17,59,True,1077.0,1077.0,0.0,1077.0,1077.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree_weighted,18,61,True,1042.0,1042.0,0.0,1042.0,1042.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree_weighted,19,67,True,947.0,947.0,0.0,947.0,947.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,degree_weighted,20,71,True,894.0,894.0,0.0,894.0,894.0,0.0,1.0,True,100,
31623,2,False,0.1,padic,eigenvector,1,2,True,0.6505766396542795,0.6531692188426327,0.0004941658723317795,0.6518110354614443,0.6542661876143219,-5.246374412947248,0.0,False,100,
31623,2,False,0.1,padic,eigenvector,2,3,True,0.23301623179308978,0.23112518357254896,0.0015154197544283493,0.22668729444498759,0.2360756310668493,1.2478709050840537,0.22,False,100,
31623,2,False,0.1,padic,eigenvector,3,5,True,0.10758061657563951,0.10261700702093252,0.0009883474106367667,0.10046115274912115,0.10506011381315151,5.022130377727272,0.0,False,100,
31623,2,False,0.1,padic,eigenvector,4,7,True,0.07037180702900764,0.06604322317902964,0.001013215164327734,0.06397832120819812,0.06878489589617028,4.272126989779122,0.0,False,100,
