node,is_prime,degree,degree_weighted,eigenvector,eigenvector_costweight,pagerank,betweenness,p_index,N,anchor,hub_edges,hub_cost,weighting
3,True,332.0,364.73927983781175,0.2887811260064133,0.1816231017396259,0.040454982393715,0.19000563689942448,0.3333333333333333,1000,2,False,0.1,log
5,True,199.0,320.2781445743848,0.3125867368863041,0.06593241662403704,0.03483833305650361,0.1926154611525353,0.2,1000,2,False,0.1,log
7,True,141.0,274.37333101679945,0.2874586413887055,0.03766060821096679,0.029432462541155408,0.15436077359925054,0.14285714285714285,1000,2,False,0.1,log
11,True,89.0,213.4126792790547,0.22214364890616717,0.01906538397498385,0.0225429829729528,0.08641707840104634,0.09090909090909091,1000,2,False,0.1,log
13,True,75.0,192.37120180961523,0.19487598909213882,0.014978535012417039,0.020191805534213295,0.08251136908451538,0.07692307692307693,1000,2,False,0.1,log
17,True,57.0,161.49316061120442,0.15461761036614396,0.010304858246745964,0.016852479164784342,0.05851944128497235,0.058823529411764705,1000,2,False,0.1,log
19,True,51.0,150.16638793748842,0.1396939815780509,0.008879183416351157,0.015601561122781233,0.0568905578925619,0.05263157894736842,1000,2,False,0.1,log
23,True,42.0,131.69075706902444,0.11482815733706532,0.006738231575580175,0.013540217589347205,0.05189758897173727,0.043478260869565216,1000,2,False,0.1,log
29,True,33.0,111.12076238955365,0.08700954341167941,0.005048724219325555,0.011474458351638659,0.040330912074399046,0.034482758620689655,1000,2,False,0.1,log
31,True,31.0,106.45360333903959,0.0796875834013609,0.004645689408411415,0.01101294644083297,0.03989961905793569,0.03225806451612903,1000,2,False,0.1,log
37,True,26.0,93.88386572874985,0.0685018322953379,0.003625222425885038,0.009558344436619175,0.033875558925659126,0.02702702702702703,1000,2,False,0.1,log
41,True,23.0,85.41215753419905,0.06003219471239429,0.0032347701432263267,0.00864199907313517,0.03022661940497612,0.024390243902439025,1000,2,False,0.1,log
43,True,22.0,82.7464025452584,0.05763968512463496,0.002919192863531478,0.008338169276700245,0.029037053085149277,0.023255813953488372,1000,2,False,0.1,log
